invyr,statecd,unitcd,countycd,plot,lat,lon,lon.1,lat.1
2009,12,3,93,6,27.083068,-80.73138,-80.73138,27.083068
2009,12,3,111,28,27.224773,-80.67077,-80.67077,27.224773
2004,12,3,111,30,27.240246,-80.616338,-80.616338,27.240246
2009,12,4,11,14,26.062042,-80.83507,-80.83507,26.062042
2009,12,4,11,37,25.981265,-80.851794,-80.851794,25.981265
2004,12,4,11,41,26.125011,-80.611557,-80.611557,26.125011
2009,12,4,11,57,26.146082,-80.677035,-80.677035,26.146082
2009,12,4,11,58,26.296682,-80.756439,-80.756439,26.296682
2006,12,4,11,100,26.161116,-80.863333,-80.863333,26.161116
2007,12,4,11,126,26.113264,-80.858262,-80.858262,26.113264
2009,12,4,21,2,26.222429,-80.898221,-80.898221,26.222429
2003,12,4,21,6,25.965455,-81.677056,-81.677056,25.965455
2009,12,4,21,9,25.914395,-81.312459,-81.312459,25.914395
2003,12,4,21,11,25.856105,-80.897732,-80.897732,25.856105
2004,12,4,21,15,26.070843,-81.612016,-81.612016,26.070843
2004,12,4,21,19,26.157739,-81.58391,-81.58391,26.157739
2004,12,4,21,24,26.0496,-81.350383,-81.350383,26.0496
2009,12,4,21,26,26.311159,-81.310821,-81.310821,26.311159
2004,12,4,21,27,25.993959,-80.939089,-80.939089,25.993959
2003,12,4,21,28,26.299305,-81.369309,-81.369309,26.299305
2003,12,4,21,33,26.038257,-81.357987,-81.357987,26.038257
2009,12,4,21,36,26.231249,-81.190713,-81.190713,26.231249
2004,12,4,21,38,26.071611,-81.476123,-81.476123,26.071611
2009,12,4,21,39,26.076837,-81.249631,-81.249631,26.076837
2004,12,4,21,42,26.211457,-81.15129,-81.15129,26.211457
2009,12,4,21,45,25.85009,-81.06741,-81.06741,25.85009
2009,12,4,21,48,26.221344,-81.67346,-81.67346,26.221344
2003,12,4,21,49,26.425122000000002,-81.529753,-81.529753,26.425122000000002
2009,12,4,21,52,26.01752,-81.279037,-81.279037,26.01752
2004,12,4,21,55,26.16263,-81.741453,-81.741453,26.16263
2003,12,4,21,56,26.098155,-81.343469,-81.343469,26.098155
2004,12,4,21,58,25.895429,-81.131086,-81.131086,25.895429
2009,12,4,21,59,26.39495,-81.274841,-81.274841,26.39495
2003,12,4,21,61,25.861378,-81.161577,-81.161577,25.861378
2009,12,4,21,62,26.308084,-81.604414,-81.604414,26.308084
2004,12,4,21,63,26.423807,-81.373395,-81.373395,26.423807
2009,12,4,21,64,26.089685,-81.671677,-81.671677,26.089685
2003,12,4,21,66,26.264118,-81.5775,-81.5775,26.264118
2004,12,4,21,67,26.206538,-81.41586,-81.41586,26.206538
2004,12,4,21,68,26.226868,-81.70437,-81.70437,26.226868
2003,12,4,21,69,26.109061,-81.615498,-81.615498,26.109061
2009,12,4,21,71,26.174773,-81.65706,-81.65706,26.174773
2004,12,4,21,73,26.145932,-81.42904,-81.42904,26.145932
2003,12,4,21,75,26.430971,-81.481244,-81.481244,26.430971
2009,12,4,21,77,26.252273,-81.491592,-81.491592,26.252273
2009,12,4,21,78,26.474122,-81.539006,-81.539006,26.474122
2009,12,4,21,79,26.173215,-81.515763,-81.515763,26.173215
2009,12,4,21,82,26.256057,-81.59991,-81.59991,26.256057
2003,12,4,21,83,26.052081,-81.052185,-81.052185,26.052081
2009,12,4,21,84,25.999405,-81.39962,-81.39962,25.999405
2003,12,4,21,85,26.188766,-81.60297,-81.60297,26.188766
2003,12,4,21,87,26.02819,-81.248693,-81.248693,26.02819
2003,12,4,21,91,26.176571,-81.463896,-81.463896,26.176571
2009,12,4,21,96,26.246961,-81.35511,-81.35511,26.246961
2009,12,4,21,102,25.927003,-81.588437,-81.588437,25.927003
2003,12,4,21,103,26.101603,-81.512706,-81.512706,26.101603
2004,12,4,21,105,26.353368,-81.355949,-81.355949,26.353368
2004,12,4,21,106,25.89137,-80.96274,-80.96274,25.89137
2003,12,4,21,107,26.51273,-81.481187,-81.481187,26.51273
2009,12,4,21,108,26.1568,-81.228588,-81.228588,26.1568
2004,12,4,21,109,26.23614,-81.277152,-81.277152,26.23614
2003,12,4,21,110,26.123098,-81.333719,-81.333719,26.123098
2003,12,4,21,111,26.173574,-80.913837,-80.913837,26.173574
2004,12,4,21,116,25.980957,-81.367777,-81.367777,25.980957
2004,12,4,21,118,25.988094,-81.50851,-81.50851,25.988094
2003,12,4,21,119,26.328545,-81.533797,-81.533797,26.328545
2004,12,4,21,122,26.29537,-81.809157,-81.809157,26.29537
2003,12,4,21,124,25.939583,-81.284182,-81.284182,25.939583
2004,12,4,21,127,25.908174,-81.261972,-81.261972,25.908174
2003,12,4,21,132,25.858339,-81.013234,-81.013234,25.858339
2004,12,4,21,135,26.264511,-81.299646,-81.299646,26.264511
2009,12,4,21,136,25.832878,-80.918544,-80.918544,25.832878
2003,12,4,21,139,26.034088,-81.681499,-81.681499,26.034088
2003,12,4,21,140,26.26352,-81.729111,-81.729111,26.26352
2004,12,4,21,141,26.226121,-81.548916,-81.548916,26.226121
2009,12,4,21,145,26.075751,-81.542351,-81.542351,26.075751
2006,12,4,21,147,26.354754,-81.623112,-81.623112,26.354754
2006,12,4,21,148,26.239344,-80.950328,-80.950328,26.239344
2006,12,4,21,149,26.104503,-81.300675,-81.300675,26.104503
2006,12,4,21,154,26.021209,-81.338241,-81.338241,26.021209
2006,12,4,21,158,26.03167,-81.624794,-81.624794,26.03167
2006,12,4,21,160,25.926452,-81.342277,-81.342277,25.926452
2006,12,4,21,161,26.332725,-81.475323,-81.475323,26.332725
2006,12,4,21,162,26.264556,-81.797293,-81.797293,26.264556
2006,12,4,21,163,26.193296,-81.138954,-81.138954,26.193296
2006,12,4,21,164,26.183492,-81.52696,-81.52696,26.183492
2006,12,4,21,171,26.012662,-80.888991,-80.888991,26.012662
2006,12,4,21,174,26.079662,-81.598739,-81.598739,26.079662
2006,12,4,21,175,25.829315,-80.983239,-80.983239,25.829315
2006,12,4,21,176,25.866771,-81.099664,-81.099664,25.866771
2006,12,4,21,177,26.263099,-81.669027,-81.669027,26.263099
2006,12,4,21,181,26.15444,-81.283281,-81.283281,26.15444
2006,12,4,21,183,26.019602,-81.466932,-81.466932,26.019602
2006,12,4,21,185,25.934206,-80.941537,-80.941537,25.934206
2006,12,4,21,187,26.10299,-81.711691,-81.711691,26.10299
2006,12,4,21,193,26.245191,-81.239324,-81.239324,26.245191
2006,12,4,21,197,26.267398,-81.54963,-81.54963,26.267398
2007,12,4,21,199,26.362087,-81.479524,-81.479524,26.362087
2007,12,4,21,201,26.206412,-81.072099,-81.072099,26.206412
2007,12,4,21,203,26.025884,-81.417393,-81.417393,26.025884
2007,12,4,21,205,26.061049,-81.152363,-81.152363,26.061049
2007,12,4,21,211,26.052675,-81.288906,-81.288906,26.052675
2007,12,4,21,213,26.289658,-81.611118,-81.611118,26.289658
2007,12,4,21,214,25.816732,-81.103454,-81.103454,25.816732
2007,12,4,21,215,25.886206,-81.208901,-81.208901,25.886206
2007,12,4,21,217,26.057887,-81.546431,-81.546431,26.057887
2007,12,4,21,221,26.208751,-81.225844,-81.225844,26.208751
2007,12,4,21,222,26.049309,-81.703311,-81.703311,26.049309
2007,12,4,21,225,26.201331,-81.494254,-81.494254,26.201331
2007,12,4,21,228,26.13429,-81.38558,-81.38558,26.13429
2007,12,4,21,229,26.35191,-81.31159,-81.31159,26.35191
2007,12,4,21,234,25.902658,-81.35546,-81.35546,25.902658
2007,12,4,21,236,26.279485,-81.348049,-81.348049,26.279485
2007,12,4,21,237,26.285336,-81.477399,-81.477399,26.285336
2007,12,4,21,238,26.209649,-81.661483,-81.661483,26.209649
2007,12,4,21,241,26.118321,-81.54132,-81.54132,26.118321
2007,12,4,21,242,25.991289,-81.16903,-81.16903,25.991289
2007,12,4,21,243,26.115632,-81.265505,-81.265505,26.115632
2007,12,4,21,244,25.883286,-81.069789,-81.069789,25.883286
2007,12,4,21,246,26.035895,-80.893586,-80.893586,26.035895
2007,12,4,21,247,26.121756,-81.1254,-81.1254,26.121756
2007,12,4,21,249,26.208454,-81.393228,-81.393228,26.208454
2009,12,4,21,258,25.99681,-81.54291,-81.54291,25.99681
2006,12,4,21,259,26.188986,-81.410619,-81.410619,26.188986
2006,12,4,21,260,26.238166,-81.396826,-81.396826,26.238166
2006,12,4,21,261,26.172219,-80.972344,-80.972344,26.172219
2003,12,4,25,13,25.456017,-80.340489,-80.340489,25.456017
2003,12,4,25,35,25.382516,-80.768006,-80.768006,25.382516
2003,12,4,25,39,25.386496,-80.631696,-80.631696,25.386496
2009,12,4,25,60,25.438719,-80.784708,-80.784708,25.438719
2004,12,4,25,63,25.268525,-80.792331,-80.792331,25.268525
2003,12,4,25,71,25.382767,-80.518447,-80.518447,25.382767
2009,12,4,25,74,25.266202,-80.431637,-80.431637,25.266202
2004,12,4,25,82,25.904973,-80.849129,-80.849129,25.904973
2004,12,4,25,100,25.416764,-80.738884,-80.738884,25.416764
2009,12,4,25,108,25.20126,-80.60351,-80.60351,25.20126
2004,12,4,25,110,25.335895,-80.354305,-80.354305,25.335895
2003,12,4,25,116,25.928309,-80.442324,-80.442324,25.928309
2003,12,4,25,123,25.303815,-80.386285,-80.386285,25.303815
2004,12,4,25,130,25.819593,-80.862022,-80.862022,25.819593
2006,12,4,25,165,25.759354,-80.453283,-80.453283,25.759354
2006,12,4,25,167,25.774045,-80.86867,-80.86867,25.774045
2006,12,4,25,169,25.840045,-80.411432,-80.411432,25.840045
2006,12,4,25,189,25.849665,-80.833527,-80.833527,25.849665
2006,12,4,25,194,25.295643,-80.474551,-80.474551,25.295643
2007,12,4,25,212,25.798505,-80.823171,-80.823171,25.798505
2007,12,4,25,241,25.792742,-80.415138,-80.415138,25.792742
2007,12,4,25,250,25.407655,-80.697138,-80.697138,25.407655
2009,12,4,43,3,26.850892,-80.967011,-80.967011,26.850892
2009,12,4,43,59,26.770183,-81.126609,-81.126609,26.770183
2006,12,4,43,85,26.878548,-81.149101,-81.149101,26.878548
2004,12,4,51,3,26.28827,-81.101787,-81.101787,26.28827
2004,12,4,51,9,26.379147,-81.074584,-81.074584,26.379147
2003,12,4,51,11,26.499775,-81.069888,-81.069888,26.499775
2009,12,4,51,13,26.621563,-81.066097,-81.066097,26.621563
2003,12,4,51,16,26.352126,-80.974342,-80.974342,26.352126
2004,12,4,51,23,26.613531,-81.28239,-81.28239,26.613531
2009,12,4,51,27,26.308899,-81.165447,-81.165447,26.308899
2009,12,4,51,29,26.548442,-81.160173,-81.160173,26.548442
2003,12,4,51,38,26.64322,-81.028831,-81.028831,26.64322
2009,12,4,51,47,26.387467,-81.137551,-81.137551,26.387467
2009,12,4,51,60,26.540113,-81.214174,-81.214174,26.540113
2006,12,4,51,85,26.308385,-81.092641,-81.092641,26.308385
2006,12,4,51,86,26.534569,-81.274101,-81.274101,26.534569
2006,12,4,51,88,26.481792,-81.138341,-81.138341,26.481792
2006,12,4,51,91,26.33571,-81.212764,-81.212764,26.33571
2007,12,4,51,97,26.265226,-80.928008,-80.928008,26.265226
2007,12,4,51,98,26.604687,-81.104316,-81.104316,26.604687
2007,12,4,51,107,26.58519,-81.397428,-81.397428,26.58519
2007,12,4,51,111,26.258013,-81.049575,-81.049575,26.258013
2007,12,4,51,113,26.344672,-81.034177,-81.034177,26.344672
2007,12,4,51,114,26.658814,-81.064641,-81.064641,26.658814
2007,12,4,51,118,26.581237,-81.225091,-81.225091,26.581237
2007,12,4,51,121,26.413346,-81.141314,-81.141314,26.413346
2007,12,4,51,122,26.503393,-81.269966,-81.269966,26.503393
2010,12,4,51,130,26.335124,-80.985368,-80.985368,26.335124
2011,12,4,51,134,26.530662,-81.315136999999993,-81.315136999999993,26.530662
2003,12,4,71,30,26.342906,-81.669707,-81.669707,26.342906
2007,12,4,71,129,26.359496,-81.711263,-81.711263,26.359496
2003,12,4,85,1,27.16859,-80.545645,-80.545645,27.16859
2003,12,4,85,2,27.010923,-80.13859,-80.13859,27.010923
2003,12,4,85,11,27.127422,-80.546662,-80.546662,27.127422
2003,12,4,85,15,26.959581,-80.185607,-80.185607,26.959581
2004,12,4,85,19,27.001146,-80.286145,-80.286145,27.001146
2003,12,4,85,35,26.996817,-80.194598,-80.194598,26.996817
2009,12,4,85,48,27.080755,-80.588667,-80.588667,27.080755
2006,12,4,85,49,27.187071,-80.605863,-80.605863,27.187071
2006,12,4,85,55,26.994393,-80.138089,-80.138089,26.994393
2007,12,4,85,71,27.125877,-80.598398,-80.598398,27.125877
2007,12,4,85,77,27.045954,-80.202571,-80.202571,27.045954
2013,12,4,85,81,26.960212,-80.383673,-80.383673,26.960212
2009,12,4,85,84,27.066621,-80.170071,-80.170071,27.066621
2009,12,4,85,87,27.072958,-80.307468,-80.307468,27.072958
2012,12,4,85,88,27.002857,-80.118202,-80.118202,27.002857
2009,12,4,87,44,25.748453,-80.95046,-80.95046,25.748453
2009,12,4,87,92,25.748477,-81.082781,-81.082781,25.748477
2004,12,4,87,175,25.749576,-81.041269,-81.041269,25.749576
2003,12,4,87,227,25.784524,-80.910546,-80.910546,25.784524
2006,12,4,87,317,25.151471,-81.084876,-81.084876,25.151471
2007,12,4,87,379,25.731341,-80.987815,-80.987815,25.731341
2009,12,4,99,9,26.911896,-80.233362,-80.233362,26.911896
2004,12,4,99,16,26.899074,-80.463226,-80.463226,26.899074
2003,12,4,99,26,26.945522,-80.468161,-80.468161,26.945522
2004,12,4,99,46,26.706976,-80.284739,-80.284739,26.706976
2003,12,4,99,57,26.816528,-80.206911,-80.206911,26.816528
2003,12,4,99,79,26.862978,-80.226781,-80.226781,26.862978
2009,12,4,99,98,26.457895,-80.829744,-80.829744,26.457895
2009,12,4,99,101,26.913714,-80.364907,-80.364907,26.913714
2003,12,4,99,104,26.796301,-80.392806,-80.392806,26.796301
2009,12,4,99,114,26.840546,-80.401336,-80.401336,26.840546
2009,12,4,99,117,26.93628,-80.51529,-80.51529,26.93628
2003,12,4,99,119,26.87222,-80.361943,-80.361943,26.87222
2009,12,4,99,123,26.524464,-80.24895,-80.24895,26.524464
2004,12,4,99,139,26.883332,-80.183225,-80.183225,26.883332
2006,12,4,99,160,26.928368,-80.28248,-80.28248,26.928368
2006,12,4,99,175,26.92855,-80.42621,-80.42621,26.92855
2006,12,4,99,180,26.845115,-80.173372,-80.173372,26.845115
2006,12,4,99,187,26.853157,-80.311738,-80.311738,26.853157
2006,12,4,99,196,26.864663,-80.451527,-80.451527,26.864663
2007,12,4,99,207,26.726255,-80.332778,-80.332778,26.726255
2007,12,4,99,212,26.895197,-80.31288,-80.31288,26.895197
2007,12,4,99,218,26.887048,-80.41363,-80.41363,26.887048
2007,12,4,99,241,26.429053,-80.722568,-80.722568,26.429053
2007,12,4,99,243,26.882835,-80.277427,-80.277427,26.882835
2007,12,4,99,246,26.568178,-80.246795,-80.246795,26.568178
2007,12,4,99,256,26.803654,-80.173458,-80.173458,26.803654
2002,72,1,1,1,18.15142,-66.819388,-66.819388,18.15142
2003,72,1,1,2,18.201232,-66.726995,-66.726995,18.201232
2002,72,1,1,6,18.174614,-66.700315,-66.700315,18.174614
2003,72,1,1,8,18.177457,-66.789312,-66.789312,18.177457
2002,72,1,1,9,18.178304,-66.732362,-66.732362,18.178304
2003,72,1,1,12,18.205027,-66.757634,-66.757634,18.205027
2002,72,1,1,13,18.172543,-66.695994,-66.695994,18.172543
2002,72,1,7,1,18.285302,-66.074122,-66.074122,18.285302
2002,72,1,7,2,18.202843,-66.128103,-66.128103,18.202843
2002,72,1,7,3,18.229498,-66.159479,-66.159479,18.229498
2002,72,1,9,1,18.076047,-66.246541,-66.246541,18.076047
2001,72,1,9,2,18.14744,-66.239268,-66.239268,18.14744
2003,72,1,9,5,18.124017,-66.243219,-66.243219,18.124017
2003,72,1,11,1,18.256161,-67.072977,-67.072977,18.256161
2003,72,1,11,2,18.315171,-67.173541,-67.173541,18.315171
2003,72,1,11,4,18.313958,-67.117241,-67.117241,18.313958
2002,72,1,11,5,18.259735,-67.095694,-67.095694,18.259735
2012,72,1,11,6,18.277661,-67.051591,-67.051591,18.277661
2002,72,1,13,2,18.371348,-66.670841,-66.670841,18.371348
2002,72,1,13,4,18.394809,-66.640489,-66.640489,18.394809
2002,72,1,13,5,18.370651,-66.729986,-66.729986,18.370651
2003,72,1,13,8,18.418805,-66.727269,-66.727269,18.418805
2003,72,1,13,9,18.338665,-66.744021,-66.744021,18.338665
2001,72,1,13,10,18.452819,-66.58549,-66.58549,18.452819
2001,72,1,13,12,18.347861,-66.674318,-66.674318,18.347861
2008,72,1,13,16,18.393559,-66.759824,-66.759824,18.393559
